time,Qc0,Qc1,Qc2,Qc3
0.0,-0.03724892445435812,-0.43886506533307457,-0.7201407808816067,-0.27246567398644683
0.02,-0.38287554085386044,0.3908413488833937,0.6236815703671101,-0.10393032682991166
0.04,0.24440818073424797,0.5328263419241519,-0.019315115403893524,0.25704914899541964
0.06,0.29939597209379776,0.25007992273080903,0.09932657647192755,0.822714080877146
0.08,-0.7233779591609513,0.3186176700691188,-0.9101857285023827,0.03933859584521948
0.1,0.47662353936119617,-0.4479534373765579,0.8929713449357108,-0.6217441438664428
0.12,-0.36535255729381544,0.9069474093474601,0.3076333044676589,-0.7607101102985085
0.14,-0.09198367789032424,-0.9564871837556777,-0.27902767286373154,0.31609266306263994
0.16,-0.618625350341699,0.6522018917074976,-0.4856347983419853,0.7751114653507121
0.18,0.5857061197004039,-0.5739788933421683,-0.5721955808914394,0.4299758492105612
0.2,-0.7218935009984919,0.37964390460890285,0.1866061637200247,-0.365911839152141
0.22,0.7451696514195154,0.0498012610288705,-0.7416146750003818,0.5127251851606065
0.24,0.4459942349009991,0.8037707715643043,0.3640090938053002,0.4810248235421728
0.26,0.954339040416013,0.13709816497692495,0.7005156461981914,-0.7816470946107668
0.28,0.030816992409253174,-0.6721893923092945,0.024449099651472572,0.8300112518980141
0.3,-0.8647723395529765,0.11532902301706272,-0.1832851220029681,-0.7432176221037581
0.32,-0.11615094232658651,0.22196052819193013,0.6865272339383952,0.23192652335634079
0.34,0.15248883010461078,0.8738596348491288,-0.6497097340906479,-0.37357819518075
0.36,0.022435648370045413,0.025066929221735146,0.1462940392792036,-0.7585868988410693
0.38,0.8013932269296795,0.3407215366199092,-0.5349282863702978,0.08955826377235576
0.4,-0.0610139696408889,0.49548717695686295,-0.30021037922438665,0.9686146126969306
0.42,0.8851938327999513,0.20681286423458967,-0.44132508705781404,0.9726880898952635
0.44,0.4265268387293011,0.36064365713694335,0.11882778657600168,0.6108768492262426
0.46,0.7910643600383389,-0.5512977707226676,0.31614257885112584,0.05022987482300434
0.48,-0.28014663657976624,-0.8026657254237917,0.25999148285691764,-0.07212518467005946
0.5,-0.0005477603884198601,-0.5634740454648466,0.1740955455301485,-0.537458897130336
0.52,0.008174190536925696,0.9890188787080676,-0.8242882095523913,0.7613915415756103
0.54,-0.9779849568528751,-0.7162822038296754,-0.4761563594288565,-0.25390669041030467
0.56,0.05075346307687978,0.09372091299229157,0.36480225829355883,-0.7378049320583915
0.58,-0.5815901763469065,0.2672144466300277,0.543811677168184,0.6946491411636846
0.6,0.4850678590013242,0.5835235775796643,0.48992625180865024,-0.8320292079589089
0.62,0.30345746005761765,-0.05514035002428774,0.9450411759778783,0.9205419273382052
0.64,-0.5839959787074649,0.34307354025450554,-0.4719319386052159,-0.43285618739720055
0.66,-0.4586538207902453,0.799740059548202,-0.2331596523236361,0.3154875018820167
0.68,-0.64218191523515,-0.39976084346618146,0.5448569052828638,0.11374189237093257
0.7000000000000001,0.5146288762383904,0.7546889375327761,0.6502474498406148,-0.8599800028887015
0.72,-0.5986186167467842,-0.7148358135731885,0.39296818971359326,-0.06537329903001066
0.74,0.24917543795525332,-0.6041702173796635,-0.04580453253003092,-0.1818031469148904
0.76,0.2145492733727168,0.4777867933357478,0.1869713192909357,0.9962256475950515
0.78,-0.9490718407708878,-0.11204241379630742,-0.6400242877271805,-0.901970486834297
