time	Qc0	Qc1	Qc2	Qc3
0	-0.334492411	-0.151486589	-0.621070423	0.469303878
0.02	-0.932729584	0.680384914	-0.625088787	-0.613099317
0.04	0.804279512	-0.434192954	0.140654831	0.429229779
0.06	-0.816884791	0.831997247	0.399100374	0.36829861
0.08	0.151719012	-0.057044328	0.001194082	0.745941049
0.1	-0.513095122	0.702722695	-0.314837742	-0.860786294
0.12	0.734921839	-0.624504543	0.799602558	-0.469012771
0.14	-0.898338207	0.687882684	-0.00853211	0.38265686
0.16	0.184612592	-0.537209888	0.964481885	-0.907803451
0.18	0.785294133	-0.805376503	0.768469734	-0.933446321
0.2	-0.175709281	-0.846574209	0.679570769	0.033678829
0.22	-0.725153252	-0.683902358	-0.961102781	-0.120182353
0.24	-0.838598199	-0.549780602	-0.777149919	0.909336708
0.26	-0.714215527	0.410348236	-0.392446187	-0.133306032
0.28	-0.891925257	-0.115703155	0.031139271	-0.058676265
0.3	0.040330783	-0.545868606	-0.430327646	-0.093664205
0.32	0.717851424	0.027772137	-0.895094097	0.96723661
0.34	0.725058009	0.992059811	0.429652586	0.10106751
0.36	0.943203149	0.261839915	0.04989563	0.464606459
0.38	-0.892387347	0.513005664	0.777266081	-0.926002368
0.4	0.070746405	-0.100764296	-0.467126201	0.045734476
0.42	0.443871103	0.791041469	-0.960933059	0.140122933
0.44	0.622693789	-0.934686249	-0.252365101	-0.983427404
0.46	-0.975452277	-0.763097724	0.699743811	0.161132582
0.48	0.862757968	0.066852018	-0.192243223	-0.255123859
0.5	0.661460303	-0.820585259	-0.531856159	0.723170344
0.52	0.192280464	0.271781214	0.749888517	-0.985685872
0.54	0.887150108	0.851209657	-0.232117966	-0.785472978
0.56	-0.462889731	-0.572708579	0.38650208	0.565553497
0.58	0.36344673	-0.453687551	0.087330193	-0.614429857
0.6	-0.894184365	0.267410295	-0.449970394	-0.696755688
0.62	-0.665513951	-0.140835143	0.480807152	0.34013691
0.64	-0.488108133	0.430289359	0.549224022	0.840841967
0.66	-0.680411471	0.162451285	0.888056447	0.100910318
