time	Qc0	Qc1	Qc2	Qc3
0	-0.091690517	-0.647321714	0.513294698	-0.782315592
0.02	-0.640170282	0.292124573	-0.186405031	-0.38180848
0.04	0.85314421	0.412776472	0.965510627	0.77778341
0.06	0.782977199	0.648593185	0.272808881	-0.854288423
0.08	0.870171804	-0.477449112	-0.581407227	0.893481474
0.1	0.756578264	0.22939731	0.297989501	0.751180568
0.12	-0.102537707	0.241256486	0.674897712	-0.079235689
0.14	-0.263218996	0.019593652	-0.379461945	0.195721725
0.16	0.326666261	-0.753775828	-0.508956895	0.069427297
0.18	-0.014650364	-0.89024413	-0.23789662	0.772542876
0.2	0.269456734	0.760386854	-0.085002162	-0.445397026
0.22	-0.638795643	0.396849923	-0.830491133	-0.664563842
0.24	0.032257238	-0.033348591	-0.088515479	-0.271033811
0.26	0.156528661	-0.174217186	0.042043244	-0.971744306
0.28	0.678102164	-0.926007842	-0.921219576	0.702820425
0.3	0.2624924	0.882266894	0.384343993	-0.23144086
0.32	0.191038864	0.96723321	-0.560063263	-0.9367578
0.34	-0.864070315	-0.310219744	-0.908215438	0.382020769
0.36	0.919576989	0.847005261	0.509165626	0.291105087
0.38	-0.472481609	0.482812169	-0.81714011	0.381299246
0.4	-0.278800107	0.028870593	-0.001602034	0.5961012
0.42	-0.221151791	-0.344470046	0.400433599	-0.680580171
0.44	0.482805069	-0.632086309	0.303816029	-0.675674519
0.46	0.296955155	0.946956856	-0.500267279	0.535083034
0.48	-0.302003428	0.856400846	0.378182702	-0.29283743
0.5	-0.032897168	-0.188712381	0.644104233	-0.10812521
0.52	-0.23789762	0.392361172	-0.098811315	-0.745814847
0.54	0.4956788	0.852032499	-0.200561118	0.008903929
0.56	-0.239757876	0.162288886	-0.009191107	-0.430289939
0.58	0.978612357	0.01296851	0.214000284	0.359981321
0.6	-0.758974734	0.572745399	-0.347937498	-0.798234043
0.62	0.648244624	-0.900847807	0.696875998	0.570578916
0.64	0.319716864	-0.151395866	-0.313656728	0.766101394
0.66	0.277317214	-0.731488637	-0.742003737	-0.662570201
0.68	-0.857737334	0.466518251	-0.856639547	-0.982107681
